Bait ID,Bait Name,Bait Locus,Bait Notes,Prey Locus,Prey TAIR Symbols,Prey TAIR Description,Number of Interactions
4,SYP23,AT4G17730,,AT1G34000,OHP2,OHP2 (ONE-HELIX PROTEIN 2),2
4,SYP23,AT4G17730,,AT1G35670,"ATCDPK2, CPK11, ATCPK11",ATCDPK2 (CALCIUM-DEPENDENT PROTEIN KINASE 2); calmodulin-dependent protein kinase/ kinase,1
3,NDL1,AT5G56750,,AT1G35720,"ANNAT1, OXY5, ATOXY5",ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization,1
4,SYP23,AT4G17730,,AT1G35720,"ANNAT1, OXY5, ATOXY5",ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization,1
23,,AT1G05000,,AT1G35720,"ANNAT1, OXY5, ATOXY5",ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization,1
24,,AT4G26410,,AT1G35720,"ANNAT1, OXY5, ATOXY5",ANNAT1 (ANNEXIN ARABIDOPSIS 1); ATP binding / calcium ion binding / calcium-dependent phospholipid binding / copper ion binding / peroxidase/ protein homodimerization,1
4,SYP23,AT4G17730,,AT1G44920,,unknown protein,1
5,RGS1,AT3G26090,,AT1G47420,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, nucleus; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: GAMMA CA2 (GAMMA CARBONIC ANHYDRASE 2); carbonate dehydratase (TAIR:AT1G47260.1); Has 85 Blast hits to 85 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 84; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",1
5,RGS1,AT3G26090,,AT1G47820,,unknown protein,1
2,AGB1,AT4G34460,,AT1G49670,NQR,NQR; binding / catalytic/ oxidoreductase/ zinc ion binding,2
2,AGB1,AT4G34460,,AT1G49870,,"LOCATED IN: chloroplast; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: F mature embryo stage, petal differentiation and expansion stage, D bilateral stage, E expanded cotyledon stage; BEST Arabidopsis thaliana protein match is: MBD10; DNA binding / methyl-CpG binding (TAIR:AT1G15340.1); Has 5602 Blast hits to 4205 proteins in 368 species: Archae - 30; Bacteria - 406; Metazoa - 2889; Fungi - 302; Plants - 153; Viruses - 8; Other Eukaryotes - 1814 (source: NCBI BLink).",1
3,NDL1,AT5G56750,,AT1G50010,TUA2,TUA2; structural constituent of cytoskeleton,1
15,ATARD4,AT5G43850,,AT1G50010,TUA2,TUA2; structural constituent of cytoskeleton,1
9,ATARD1,AT4G14716,,AT1G50370,,"serine/threonine protein phosphatase, putative",1
11,UNE16,AT4G13640,,AT1G50730,,unknown protein,1
5,RGS1,AT3G26090,,AT1G51690,ATB ALPHA,ATB ALPHA; nucleotide binding / protein phosphatase type 2A regulator,1
3,NDL1,AT5G56750,,AT1G51710,"UBP6, ATUBP6",UBP6 (UBIQUITIN-SPECIFIC PROTEASE 6); calmodulin binding / ubiquitin-specific protease,1
1,TGA1,AT5G65210,,AT1G52740,HTA9,HTA9 (HISTONE H2A PROTEIN 9); DNA binding,1
2,AGB1,AT4G34460,,AT1G52760,,esterase/lipase/thioesterase family protein,2
5,RGS1,AT3G26090,,AT1G52760,,esterase/lipase/thioesterase family protein,1
6,GPA1,AT2G26300,CA GPA1,AT1G53230,TCP3,TCP3; transcription factor,5
5,RGS1,AT3G26090,,AT1G54130,"RSH3, AT-RSH3, ATRSH3",RSH3 (RELA/SPOT HOMOLOG 3); GTP diphosphokinase,1
2,AGB1,AT4G34460,,AT1G54290,,"eukaryotic translation initiation factor SUI1, putative",1
5,RGS1,AT3G26090,,AT1G54310,,RNA binding,1
4,SYP23,AT4G17730,,AT1G55150,,"DEAD box RNA helicase, putative (RH20)",1
13,PRN,AT3G59220,,AT1G56050,,GTP-binding protein-related,1
6,GPA1,AT2G26300,CA GPA1,AT1G56070,LOS1,"LOS1; copper ion binding / translation elongation factor/ translation factor, nucleic acid binding",3
4,SYP23,AT4G17730,,AT1G56280,ATDI19,ATDI19,1
5,RGS1,AT3G26090,,AT1G56280,ATDI19,ATDI19,12
9,ATARD1,AT4G14716,,AT1G57660,,60S ribosomal protein L21 (RPL21E),1
3,NDL1,AT5G56750,,AT1G63690,,protease-associated (PA) domain-containing protein,1
2,AGB1,AT4G34460,,AT1G65010,,unknown protein,1
13,PRN,AT3G59220,,AT1G65390,ATPP2-A5,ATPP2-A5 (ARABIDOPSIS THALIANA PHLOEM PROTEIN 2 A5); carbohydrate binding,4
9,ATARD1,AT4G14716,,AT1G67090,RBCS1A,RBCS1A (RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL CHAIN 1A); copper ion binding / ribulose-bisphosphate carboxylase,1
5,RGS1,AT3G26090,,AT1G67320,,"DNA primase, large subunit family",1
7,RACK1C,AT3G18130,,AT1G68410,,protein phosphatase 2C-related / PP2C-related,1
4,SYP23,AT4G17730,,AT1G69460,,emp24/gp25L/p24 family protein,1
1,TGA1,AT5G65210,,AT1G69530,"ATEXPA1, EXP1, AT-EXP1, ATEXP1, ATHEXP ",ATEXPA1 (ARABIDOPSIS THALIANA EXPANSIN A1),1
4,SYP23,AT4G17730,,AT1G71260,ATWHY2,ATWHY2 (A. THALIANA WHIRLY 2); DNA binding,1
2,AGB1,AT4G34460,,AT1G72050,TFIIIA,TFIIIA (TRANSCRIPTION FACTOR IIIA); 5S rDNA binding / 5S rRNA binding / nucleic acid binding / transcription factor/ zinc ion binding,12
3,NDL1,AT5G56750,,AT1G72900,,"disease resistance protein (TIR-NBS class), putative",1
3,NDL1,AT5G56750,,AT1G72920,,"disease resistance protein (TIR-NBS class), putative",1
5,RGS1,AT3G26090,,AT1G74470,,geranylgeranyl reductase,1
5,RGS1,AT3G26090,,AT1G74880,NDH-O,NDH-O (NAD(P)H:plastoquinone dehydrogenase complex subunit O),1
1,TGA1,AT5G65210,,AT1G75330,OTC,OTC (ORNITHINE CARBAMOYLTRANSFERASE); amino acid binding / carboxyl- or carbamoyltransferase/ ornithine carbamoyltransferase,1
5,RGS1,AT3G26090,,AT1G75410,BLH3,BLH3 (BEL1-LIKE HOMEODOMAIN 3); DNA binding / transcription factor,1
3,NDL1,AT5G56750,,AT1G75420,,glycosyl transferase family 1 protein,1
5,RGS1,AT3G26090,,AT1G75860,,unknown protein,2
13,PRN,AT3G59220,,AT1G75860,,unknown protein,2
7,RACK1C,AT3G18130,,AT1G78380,"ATGSTU19, GST8",ATGSTU19 (GLUTATHIONE S-TRANSFERASE TAU 19); glutathione binding / glutathione transferase,1
5,RGS1,AT3G26090,,AT1G78670,ATGGH3,ATGGH3 (gamma-glutamyl hydrolase 3); catalytic/ hydrolase/ omega peptidase,2
2,AGB1,AT4G34460,,AT1G79500,,2-dehydro-3-deoxyphosphooctonate aldolase / phospho-2-dehydro-3-deoxyoctonate aldolase / 3-deoxy-D-manno-octulosonic acid 8-phosphate synthetase (KDSA),1
4,SYP23,AT4G17730,,AT1G79500,,2-dehydro-3-deoxyphosphooctonate aldolase / phospho-2-dehydro-3-deoxyoctonate aldolase / 3-deoxy-D-manno-octulosonic acid 8-phosphate synthetase (KDSA),1
3,NDL1,AT5G56750,,AT1G79510,,unknown protein,1
15,ATARD4,AT5G43850,,AT1G79550,PGK,PGK (PHOSPHOGLYCERATE KINASE); phosphoglycerate kinase,1
7,RACK1C,AT3G18130,,AT2G01140,,"fructose-bisphosphate aldolase, putative",1
2,AGB1,AT4G34460,,AT2G01860,EMB975,EMB975 (EMBRYO DEFECTIVE 975),2
1,TGA1,AT5G65210,,AT2G02510,,unknown protein,1
9,ATARD1,AT4G14716,,AT2G02570,,nucleic acid binding,1
2,AGB1,AT4G34460,,AT2G03670,CDC48B,CDC48B; ATP binding / ATPase/ nucleoside-triphosphatase/ nucleotide binding,5
11,UNE16,AT4G13640,,AT2G03760,"ST, ATST1, RAR047, ST1",ST; brassinosteroid sulfotransferase/ sulfotransferase,1
15,ATARD4,AT5G43850,,AT2G03780,,translin family protein,1
4,SYP23,AT4G17730,,AT2G06850,"EXGT-A1, EXT","EXGT-A1 (ENDOXYLOGLUCAN TRANSFERASE); hydrolase, acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase",1
6,GPA1,AT2G26300,CA GPA1,AT2G06850,"EXGT-A1, EXT","EXGT-A1 (ENDOXYLOGLUCAN TRANSFERASE); hydrolase, acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase",1
9,ATARD1,AT4G14716,,AT2G06850,"EXGT-A1, EXT","EXGT-A1 (ENDOXYLOGLUCAN TRANSFERASE); hydrolase, acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase",3
15,ATARD4,AT5G43850,,AT2G13800,"ATSERK5, SERK5",SERK5 (SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 5); ATP binding / protein kinase/ transmembrane receptor protein serine/threonine kinase,2
3,NDL1,AT5G56750,,AT2G16280,KCS9,"KCS9 (3-KETOACYL-COA SYNTHASE 9); acyltransferase/ catalytic/ transferase, transferring acyl groups other than amino-acyl groups",1
3,NDL1,AT5G56750,,AT2G16600,ROC3,ROC3; peptidyl-prolyl cis-trans isomerase,1
5,RGS1,AT3G26090,,AT2G17250,EMB2762,EMB2762 (EMBRYO DEFECTIVE 2762),2
5,RGS1,AT3G26090,,AT2G18440,,No protein annotation,1
16,CDC48B,AT2G03670,,AT2G18440,,No protein annotation,1
16,CDC48B,AT2G03670,,AT2G18860,,syntaxin family protein,13
3,NDL1,AT5G56750,,AT2G19170,SLP3,SLP3; serine-type peptidase,1
2,AGB1,AT4G34460,,AT2G19270,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Mitotic checkpoint protein PRCC, C-terminal (InterPro:IPR018800); Has 1029 Blast hits to 488 proteins in 117 species: Archae - 0; Bacteria - 14; Metazoa - 432; Fungi - 124; Plants - 39; Viruses - 0; Other Eukaryotes - 420 (source: NCBI BLink).",1
2,AGB1,AT4G34460,,AT2G19460,,unknown protein,2
2,AGB1,AT4G34460,,AT2G19640,ASHR2,ASHR2 (ASH1-RELATED PROTEIN 2),2
5,RGS1,AT3G26090,,AT2G20890,"PSB29, THF1",PSB29,1
6,GPA1,AT2G26300,CA GPA1,AT2G20890,"PSB29, THF1",PSB29,10
5,RGS1,AT3G26090,,AT2G21240,"BPC4, BBR, ATBPC4",BPC4 (BASIC PENTACYSTEINE 4); DNA binding / transcription factor,2
1,TGA1,AT5G65210,,AT2G21580,,40S ribosomal protein S25 (RPS25B),1
6,GPA1,AT2G26300,CA GPA1,AT2G21580,,40S ribosomal protein S25 (RPS25B),1
4,SYP23,AT4G17730,,AT2G21620,RD2,RD2,1
5,RGS1,AT3G26090,,AT2G21620,RD2,RD2,2
6,GPA1,AT2G26300,CA GPA1,AT2G21620,RD2,RD2,1
13,PRN,AT3G59220,,AT2G21620,RD2,RD2,1
7,RACK1C,AT3G18130,,AT2G22880,,VQ motif-containing protein,3
2,AGB1,AT4G34460,,AT2G23070,,"casein kinase II alpha chain, putative",1
4,SYP23,AT4G17730,,AT2G23090,,unknown protein,1
3,NDL1,AT5G56750,,AT2G24270,ALDH11A3,ALDH11A3; 3-chloroallyl aldehyde dehydrogenase/ glyceraldehyde-3-phosphate dehydrogenase (NADP+),1
2,AGB1,AT4G34460,,AT2G24420,,DNA repair ATPase-related,1
3,NDL1,AT5G56750,,AT2G24420,,DNA repair ATPase-related,1
2,AGB1,AT4G34460,,AT2G26300,"GPA1, GP ALPHA 1, ATGPA1",GP ALPHA 1 (G PROTEIN ALPHA SUBUNIT 1); GTP binding / GTPase/ channel regulator/ signal transducer,1
5,RGS1,AT3G26090,,AT2G26300,"GPA1, GP ALPHA 1, ATGPA1",GP ALPHA 1 (G PROTEIN ALPHA SUBUNIT 1); GTP binding / GTPase/ channel regulator/ signal transducer,1
5,RGS1,AT3G26090,,AT2G26400,"ARD, ATARD3",ATARD3 (ACIREDUCTONE DIOXYGENASE 3); acireductone dioxygenase [iron(II)-requiring]/ heteroglycan binding / metal ion binding,1
23,,AT1G05000,,AT2G26400,"ARD, ATARD3",ATARD3 (ACIREDUCTONE DIOXYGENASE 3); acireductone dioxygenase [iron(II)-requiring]/ heteroglycan binding / metal ion binding,1
24,,AT4G26410,,AT2G26400,"ARD, ATARD3",ATARD3 (ACIREDUCTONE DIOXYGENASE 3); acireductone dioxygenase [iron(II)-requiring]/ heteroglycan binding / metal ion binding,1
7,RACK1C,AT3G18130,,AT2G27860,AXS1,AXS1 (UDP-D-apiose/UDP-D-xylose synthase 1); NAD or NADH binding / UDP-glucuronate decarboxylase,16
15,ATARD4,AT5G43850,,AT2G27860,AXS1,AXS1 (UDP-D-apiose/UDP-D-xylose synthase 1); NAD or NADH binding / UDP-glucuronate decarboxylase,1
17,RACK1A,AT1G18080,,AT2G27860,AXS1,AXS1 (UDP-D-apiose/UDP-D-xylose synthase 1); NAD or NADH binding / UDP-glucuronate decarboxylase,5
3,NDL1,AT5G56750,,AT2G27970,CKS2,CKS2 (CDK-subunit 2); cyclin-dependent protein kinase/ cyclin-dependent protein kinase regulator,1
5,RGS1,AT3G26090,,AT2G28190,"CSD2, CZSOD2",CSD2 (COPPER/ZINC SUPEROXIDE DISMUTASE 2); superoxide dismutase,1
8,Phosducin,AT5G14240,,AT2G29020,,Rab5-interacting family protein,1
7,RACK1C,AT3G18130,,AT2G29080,ftsh3,ftsh3 (FtsH protease 3); ATP-dependent peptidase/ ATPase,1
18,RACK1B,AT1G48630,,AT2G29080,ftsh3,ftsh3 (FtsH protease 3); ATP-dependent peptidase/ ATPase,1
3,NDL1,AT5G56750,,AT2G29530,,mitochondrial import inner membrane translocase (TIM10),9
5,RGS1,AT3G26090,,AT2G30570,PSBW,PSBW (PHOTOSYSTEM II REACTION CENTER W),1
3,NDL1,AT5G56750,,AT2G31360,ADS2,ADS2 (16:0Delta9 Arabidopsis desaturase 2); oxidoreductase,1
4,SYP23,AT4G17730,,AT2G32240,,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion; LOCATED IN: plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prefoldin (InterPro:IPR009053); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G05320.3); Has 221693 Blast hits to 95553 proteins in 2574 species: Archae - 2848; Bacteria - 44259; Metazoa - 97474; Fungi - 15490; Plants - 8386; Viruses - 1229; Other Eukaryotes - 52007 (source: NCBI BLink).,1
24,,AT4G26410,,AT2G32670,"ATVAMP725, VAMP725",ATVAMP725,1
5,RGS1,AT3G26090,,AT2G33120,"SAR1, VAMP722, ATVAMP722",SAR1 (SYNAPTOBREVIN-RELATED PROTEIN 1),1
5,RGS1,AT3G26090,,AT2G33220,,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: photorespiration; LOCATED IN: mitochondrion, mitochondrial membrane, plastid, respiratory chain complex I; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: GRIM-19 (InterPro:IPR009346); BEST Arabidopsis thaliana protein match is: MEE4 (maternal effect embryo arrest 4) (TAIR:AT1G04630.1); Has 226 Blast hits to 226 proteins in 98 species: Archae - 0; Bacteria - 0; Metazoa - 125; Fungi - 53; Plants - 38; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).",2
5,RGS1,AT3G26090,,AT2G34420,"LHB1B2, LHCB1.5",LHB1B2; chlorophyll binding,4
19,VAP27,AT3G60600,,AT2G34585,,unknown protein,1
2,AGB1,AT4G34460,,AT2G36530,LOS2,LOS2; copper ion binding / phosphopyruvate hydratase,1
4,SYP23,AT4G17730,,AT2G37190,,60S ribosomal protein L12 (RPL12A),1
3,NDL1,AT5G56750,,AT2G37570,SLT1,SLT1 (sodium- and lithium-tolerant 1),1
4,SYP23,AT4G17730,,AT2G38530,"LTP2, LP2",LTP2 (LIPID TRANSFER PROTEIN 2); lipid binding,1
8,Phosducin,AT5G14240,,AT2G38870,,"protease inhibitor, putative",1
5,RGS1,AT3G26090,,AT2G40000,"HSPRO2, ATHSPRO2",HSPRO2 (ARABIDOPSIS ORTHOLOG OF SUGAR BEET HS1 PRO-1 2),1
5,RGS1,AT3G26090,,AT2G40140,"CZF1, ZFAR1, SZF2, ATSZF2",CZF1; transcription factor,5
5,RGS1,AT3G26090,,AT2G40890,CYP98A3,"CYP98A3 (cytochrome P450, family 98, subfamily A, polypeptide 3); monooxygenase/ p-coumarate 3-hydroxylase",1
5,RGS1,AT3G26090,,AT2G41010,ATCAMBP25,ATCAMBP25 (ARABIDOPSIS THALIANA CALMODULIN (CAM)-BINDING PROTEIN OF 25 KDA); calmodulin binding,1
2,AGB1,AT4G34460,,AT2G42400,"VOZ2, ATVOZ2",VOZ2 (VASCULAR PLANT ONE ZINC FINGER PROTEIN 2); transcription activator,1
6,GPA1,AT2G26300,CA GPA1,AT2G42400,"VOZ2, ATVOZ2",VOZ2 (VASCULAR PLANT ONE ZINC FINGER PROTEIN 2); transcription activator,3
